m,misprediction_rate
7,21.3144
8,16.4528
9,14.1424
10,11.9456
11,11.0464
12,9.09
13,8.9242
14,8.8224
15,8.8193
16,8.83105
17,8.83105
18,8.83105
19,8.83105
20,8.83105
