m,misprediction_rate
7,7.9227
8,7.78785
9,7.73765
10,7.70485
11,7.6157
12,7.5975
13,7.5909
14,7.58765
15,7.5852
16,7.58525
17,7.58525
18,7.58525
19,7.58525
20,7.58525
